primary_genre,period,Sales
Thriller,1/1/2012,$872 
Thriller,1/1/2013,$479 
Thriller,1/1/2014,$1 
Thriller,1/1/2015,$538 
Thriller,1/1/2016,$766 
TV Movie,1/1/1980,$0 
TV Movie,1/1/1981,$0 
TV Movie,1/1/1982,$0 
TV Movie,1/1/1983,$0 
TV Movie,1/1/1984,$0 
TV Movie,1/1/1985,$0 
TV Movie,1/1/1986,$0 
TV Movie,1/1/1987,$0 
TV Movie,1/1/1988,$0 
TV Movie,1/1/1989,$0 
TV Movie,1/1/1990,$0 
TV Movie,1/1/1991,$0 
TV Movie,1/1/1992,$0 
TV Movie,1/1/1993,$0 
TV Movie,1/1/1994,$0 
TV Movie,1/1/1995,$0 
TV Movie,1/1/1996,$42 
TV Movie,1/1/1997,$0 
TV Movie,1/1/1998,$0 
TV Movie,1/1/1999,$0 
TV Movie,1/1/2000,$0 
TV Movie,1/1/2001,$0 
TV Movie,1/1/2002,$0 
TV Movie,1/1/2003,$0 
TV Movie,1/1/2004,$0 
TV Movie,1/1/2005,$0 
TV Movie,1/1/2006,$0 
TV Movie,1/1/2007,$0 
TV Movie,1/1/2008,$0 
TV Movie,1/1/2009,$0 
TV Movie,1/1/2010,$0 
TV Movie,1/1/2011,$0 
TV Movie,1/1/2012,$0 
TV Movie,1/1/2013,$0 
TV Movie,1/1/2014,$0 
TV Movie,1/1/2015,$0 
TV Movie,1/1/2016,$0 
War,1/1/1980,$0 
War,1/1/1981,$0 
War,1/1/1982,$1 
War,1/1/1983,$0 
War,1/1/1984,$34 
War,1/1/1986,$0 
War,1/1/1987,$14 
War,1/1/1988,$0 
War,1/1/1989,$29 
War,1/1/1990,$0 
War,1/1/1991,$0 
War,1/1/1992,$0 
War,1/1/1993,$25 
War,1/1/1995,$15 
War,1/1/1996,$0 
War,1/1/1997,$0 
War,1/1/1998,$150 
War,1/1/1999,$0 
War,1/1/2000,$95 
War,1/1/2001,$96 
War,1/1/2002,$30 
War,1/1/2003,$25 
War,1/1/2004,$167 
War,1/1/2005,$33 
War,1/1/2006,$71 
War,1/1/2007,$0 
War,1/1/2008,$20 
War,1/1/2009,$121 
War,1/1/2010,$124 
War,1/1/2011,$17 
War,1/1/2012,$44 
War,1/1/2013,$152 
War,1/1/2014,$924 
War,1/1/2015,$65 
War,1/1/2016,$65 
Western,1/1/1980,$15 
Western,1/1/1981,$0 
Western,1/1/1982,$0 
Western,1/1/1987,$0 
Western,1/1/1990,$0 
Western,1/1/1991,$0 
Western,1/1/1992,$159 
Western,1/1/1993,$0 
Western,1/1/1994,$0 
Western,1/1/1995,$0 
Western,1/1/1996,$1 
Western,1/1/1997,$0 
Western,1/1/1998,$0 
Western,1/1/1999,$0 
Western,1/1/2002,$122 
Western,1/1/2003,$68 
Western,1/1/2004,$133 
Western,1/1/2005,$0 
Western,1/1/2006,$1 
Western,1/1/2007,$70 
Western,1/1/2009,$206 
Western,1/1/2010,$0 
Western,1/1/2011,$0 
Western,1/1/2012,$0 
Western,1/1/2013,$6 
Western,1/1/2014,$3 
Western,1/1/2015,$532 
Western,1/1/2016,$4 
